"","date","city","state","Description","Event.Type_desc","Reg.num","Flight.num","Craft.Opperator","Craft.Make","Craft.Model","Craft.Damage","Flight.Activitiy","Flight.Phase","Injury.Max.Level","Fatal","lon","lat","Injury.Type","Injury.Count"
"1",2016-02-10 16:40:00,"Sturgis","South Dakota","Aircraft On Taxi, Prop Struck The Ground, Sturgis, Sd","Accident","N5945E",NA,NA,"CESSNA","150","Substantial",NA,"Taxi (Txi)","None","No",-103.5090786,44.4097069,"Flight Crew NONE",1
"3",2016-02-07 21:00:00,"Hells Canyon","Idaho","Aircraft On Landing Gear Collapsed, Hells Canyon, Id","Incident","N6394R",NA,NA,NA,"KITFOX","Unknown",NA,"Landing (Ldg)","None","No",-116.6406482,45.3710416,"Flight Crew NONE",2
"4",2016-02-09 21:46:00,"Palo Alto","California","Aircraft, Light Sport Dova As Skylark,  On Landing Nose Gear Collapsed And The Prop Struck The Runway, Palo Alto, Ca","Incident","N511JP",NA,NA,NA,NA,"Minor",NA,"Landing (Ldg)","None","No",-122.1430195,37.4418834,"Flight Crew NONE",1
"5",2016-02-09 23:56:00,"Mesa","Arizona","Aircraft Landed And Went Off The End Of The Runway, Mesa, Az","Incident","N929SM",NA,NA,"PIPER","PA28","None",NA,"Landing (Ldg)","None","No",-111.8314724,33.4151843,"Flight Crew NONE",1
"6",2016-02-09 11:30:00,"Williamsport","Pennsylvania","Aircraft On Approach To Land, Struck Trees, Landed Without Incident, Williamsport, Pa","Accident","N234NC",NA,NA,"PIPER","PA34","Substantial",NA,"Approach (Apr)","None","No",-77.0010786,41.2411897,"Flight Crew NONE",1
"7",2016-02-09 21:11:00,"Pembroke Pines","Florida","Hk4699g Columbia Registration, Piper Pa34 Aircraft, On Landing Gear Collapsed, Pembroke Pines, Hollywood,  Fl","Incident","HK4699G",NA,NA,"PIPER","PA34","None",NA,"Landing (Ldg)","None","No",-80.2962555,26.007765,"Flight Crew NONE",1
"9",2016-02-08 18:22:00,"Goodyear","Arizona","Aircraft On Takeoff, Struck A Bird, Returned And Landed Without Incident, Goodyear, Az","Incident","N1564A",NA,NA,"BEECH","33","Minor",NA,"Takeoff (Tof)","None","No",-112.3576567,33.4353394,"Flight Crew NONE",1
"10",2016-02-08 00:00:00,"Eugene","Oregon","Aircraft On Landing, Gear Collapsed, Eugene, Or","Incident","N756ZD",NA,NA,"CESSNA","206","Minor",NA,"Landing (Ldg)","None","No",-123.0867536,44.0520691,"Flight Crew NONE",2
"11",2016-02-08 18:33:00,"Billings","Montana","Aircraft On Landing, Gear Collapsed And Struck The Wing, Billings, Mt","Accident","N562H",NA,NA,"CESSNA","206","Substantial",NA,"Landing (Ldg)","None","No",-108.5006904,45.7832856,"Flight Crew NONE",1
"13",2016-02-04 00:24:00,"Newport","Rhode Island","Aircraft On Landing Struck A Bird, Middletown, Ri","Incident","N102WM",NA,NA,"PIPER","PA31","Unknown",NA,"Landing (Ldg)","None","No",-71.3128285,41.4901024,"Flight Crew NONE",1
"14",2016-02-05 19:45:00,"Goodland","Kansas","Aircraft During Flight, Window Separated From Fusalege, Landed Without Incident, Goodland, Ks","Incident","N193CG",NA,NA,"LANCAIR","IV","Unknown",NA,"Unknown (Unk)","None","No",-101.7101722,39.350833,"Flight Crew NONE",2
"15",2016-02-06 16:45:00,"Crystal River","Florida","Aircraft On Landing, Nose Gear Collasped, Crystal River, Fl","Incident","N2015W",NA,NA,"BEECH","35","Unknown",NA,"Landing (Ldg)","None","No",-82.5926012,28.902479,"Flight Crew NONE",2
"16",2016-02-06 21:45:00,"Defiance","Ohio","Aircraft On Landing, Gear Collapsed, Defiance, Oh","Incident","N252BH",NA,NA,"MOONEY","M20K","Minor",NA,"Landing (Ldg)","None","No",-84.3557802,41.2844933,"Flight Crew NONE",1
"17",2016-02-05 07:30:00,"Chesapeake","Virginia","Aircraft On Taxi, Gear Retracted, Chesapeake,  Va","Incident","N261ER",NA,NA,"AERO COMMANDER","500","Unknown",NA,"Taxi (Txi)","None","No",-76.2874927,36.7682088,"Flight Crew NONE",1
"18",2016-02-05 22:30:00,"Griffin","Georgia","Aircraft On Landing, Gear Collapsed, Griffin, Ga","Incident","N395MC",NA,NA,"CESSNA","310","Minor",NA,"Landing (Ldg)","None","No",-84.2640904,33.2467807,"Flight Crew NONE",1
"19",2016-02-07 19:21:00,"Gaithersburg","Maryland","Aircraft On Landing Went Off The End Of The Runway, Gaithersburg, Md","Incident","N5926Q",NA,NA,"MOONEY","M20E","Unknown",NA,"Landing (Ldg)","None","No",-77.2013705,39.1434406,"Flight Crew NONE",1
"20",2016-02-05 20:54:00,"Monterey","California","Aircraft On Landing, Nose Gear Collapsed, Monterey, Ca","Incident","N6036G",NA,NA,"BEECH","35","None",NA,"Landing (Ldg)","None","No",-121.8946761,36.6002378,"Flight Crew NONE",1
